vdd,vdd18,vwl,vgen,bitline_leakage(uA),Vss(V),Vrbl(V),Instance,Lot Bin Wafer,Part Number,Temp,Date
0.92,1.98,24,24,0.343925,0.003891,0.280479,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.98,28,28,0.343770,0.004044,0.280403,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,0,0,0.261986,0.003433,0.208604,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,4,4,0.270713,0.003510,0.208528,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,8,8,0.271774,0.003510,0.208986,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,12,12,0.271160,0.003433,0.208375,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,16,16,0.277836,0.003739,0.208528,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,20,20,0.279195,0.003662,0.208909,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,24,24,0.270510,0.003586,0.208528,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.8,28,28,0.271756,0.003891,0.208680,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,0,0,0.254964,0.003357,0.176787,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,4,4,0.262916,0.003433,0.176787,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,8,8,0.262761,0.003433,0.177474,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,12,12,0.254326,0.003433,0.176635,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,16,16,0.254755,0.003586,0.177245,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,20,20,0.261992,0.003510,0.177016,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,24,24,0.262922,0.003510,0.176787,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.62,28,28,0.262230,0.003433,0.177398,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,0,0,0.250374,0.003433,0.170759,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,4,4,0.257879,0.003662,0.170302,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,8,8,0.259089,0.003433,0.170836,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,12,12,0.267309,0.003357,0.170607,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,16,16,0.258737,0.003586,0.170530,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,20,20,0.265551,0.003433,0.170607,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,24,24,0.258183,0.003357,0.170988,3,P9HK27_0i_03,P0015,-40C,231114
0.92,1.53,28,28,0.266290,0.003357,0.170530,3,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,0,0,0.422502,0.004044,0.332668,3,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,4,4,0.443174,0.003815,0.332744,3,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,8,8,0.441386,0.003739,0.332592,3,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,12,12,0.434758,0.003815,0.333050,3,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,16,16,0.442751,0.004196,0.332592,3,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,20,20,0.442775,0.003739,0.332973,3,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,24,24,0.442650,0.003739,0.332668,3,P9HK27_0i_03,P0015,-40C,231114
0.9,2.07,28,28,0.442543,0.003815,0.332897,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,0,0,0.332712,0.003739,0.279640,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,4,4,0.337290,0.004120,0.279563,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,8,8,0.344515,0.003815,0.279868,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,12,12,0.344467,0.003815,0.279563,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,16,16,0.344396,0.003815,0.279868,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,20,20,0.344330,0.003968,0.279945,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,24,24,0.344312,0.003891,0.279411,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.98,28,28,0.336855,0.003891,0.279868,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,0,0,0.262332,0.003586,0.208757,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,4,4,0.271869,0.003815,0.208604,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,8,8,0.270999,0.003662,0.208680,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,12,12,0.271446,0.003662,0.209138,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,16,16,0.271285,0.003815,0.208680,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,20,20,0.271136,0.003662,0.208604,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,24,24,0.270862,0.003815,0.208452,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.8,28,28,0.271637,0.004044,0.208604,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.62,0,0,0.247656,0.003662,0.177092,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.62,4,4,0.262689,0.003586,0.176940,3,P9HK27_0i_03,P0015,-40C,231114
0.9,1.62,8,8,0.255417,0.003586,0.177169,3,P9HK27_0i_03,P0015,-40C,231114
